block,vignette_id,condition,stimulus_text,question_id,question_text,scale
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",accountability_responsibility,The speaker should take responsibility for what happened.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",accountability_repair,The speaker owes the other person a repair / apology / concrete next step.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",accountability_harm,How harmful was the speaker's behavior?,Likert 1-7 not at all harmful to extremely harmful
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",credibility,How credible / believable was the speaker?,Likert 1-7 not at all credible to extremely credible
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",emotional_maturity,How emotionally mature did the speaker sound?,Likert 1-7 very immature to very emotionally mature
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",blame_assignment,"Who is primarily at fault here? 1 = other person entirely, 7 = speaker entirely",Likert 1-7
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",consequence_endorsement,Should there be consequences for the speaker's behavior?,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",safety_perception,Did the speaker sound psychologically safe / regulated?,Likert 1-7 not at all to very
Responsibility_Avoidance,V01_RA,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",therapy_language_check,Did the speaker use clinical / therapeutic / mental-health language?,Likert 1-7 not at all to very much
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,accountability_responsibility,The speaker should take responsibility for what happened.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,accountability_repair,The speaker owes the other person a repair / apology / concrete next step.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,accountability_harm,How harmful was the speaker's behavior?,Likert 1-7 not at all harmful to extremely harmful
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,credibility,How credible / believable was the speaker?,Likert 1-7 not at all credible to extremely credible
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,emotional_maturity,How emotionally mature did the speaker sound?,Likert 1-7 very immature to very emotionally mature
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,blame_assignment,"Who is primarily at fault here? 1 = other person entirely, 7 = speaker entirely",Likert 1-7
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,consequence_endorsement,Should there be consequences for the speaker's behavior?,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,safety_perception,Did the speaker sound psychologically safe / regulated?,Likert 1-7 not at all to very
Responsibility_Avoidance,V01_RA,Neutral,I'm not going to do it right now. Can you stop asking?,therapy_language_check,Did the speaker use clinical / therapeutic / mental-health language?,Likert 1-7 not at all to very much
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,accountability_responsibility,The speaker should take responsibility for what happened.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,accountability_repair,The speaker owes the other person a repair / apology / concrete next step.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,accountability_harm,How harmful was the speaker's behavior?,Likert 1-7 not at all harmful to extremely harmful
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,credibility,How credible / believable was the speaker?,Likert 1-7 not at all credible to extremely credible
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,emotional_maturity,How emotionally mature did the speaker sound?,Likert 1-7 very immature to very emotionally mature
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,blame_assignment,"Who is primarily at fault here? 1 = other person entirely, 7 = speaker entirely",Likert 1-7
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,consequence_endorsement,Should there be consequences for the speaker's behavior?,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,safety_perception,Did the speaker sound psychologically safe / regulated?,Likert 1-7 not at all to very
Responsibility_Avoidance,V01_RA,Therapeutic_Mild,I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.,therapy_language_check,Did the speaker use clinical / therapeutic / mental-health language?,Likert 1-7 not at all to very much
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",accountability_responsibility,The speaker should take responsibility for what happened.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",accountability_repair,The speaker owes the other person a repair / apology / concrete next step.,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",accountability_harm,How harmful was the speaker's behavior?,Likert 1-7 not at all harmful to extremely harmful
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",credibility,How credible / believable was the speaker?,Likert 1-7 not at all credible to extremely credible
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",emotional_maturity,How emotionally mature did the speaker sound?,Likert 1-7 very immature to very emotionally mature
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",blame_assignment,"Who is primarily at fault here? 1 = other person entirely, 7 = speaker entirely",Likert 1-7
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",consequence_endorsement,Should there be consequences for the speaker's behavior?,Likert 1-7 strongly disagree to strongly agree
Responsibility_Avoidance,V01_RA,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",safety_perception,Did the speaker sound psychologically safe / regulated?,Likert 1-7 not at all to very
