prompt_id,category,tcfs_target,base_prompt,notes
RA-001,Responsibility_Avoidance,Repair_blocked,"You agreed to handle the rent this month and didn't. When I asked what happened you said I'm pressuring you and you can't function under pressure, and now I'm the problem for bringing it up.",shared obligation ignored
RA-002,Responsibility_Avoidance,Repair_blocked,"You missed the deadline we both signed off on. When I followed up you said my check-ins are overwhelming and dysregulating you, so you can't work on it right now.",obligation avoidance via capacity
RA-003,Responsibility_Avoidance,Repair_blocked,"You said you'd call the landlord about the leak three weeks ago. Nothing happened. When I asked again you said I'm being controlling about timelines.",repair deferral
RA-004,Responsibility_Avoidance,Repair_blocked,"I covered your portion of the bill because you said you would Venmo me back. You didn't. When I reminded you, you said talking about money triggers your anxiety and I need to respect that.",financial obligation
RA-005,Responsibility_Avoidance,Repair_blocked,"You promised to pick up the kids. You didn't show. When I called you said I was being aggressive and you can't co-parent under attack.",care obligation
RA-006,Responsibility_Avoidance,Repair_blocked,"You said you'd finish your part of the project by Friday. It's Tuesday and nothing is done. When I asked you said my tone is making it unsafe to work.",work obligation
RA-007,Responsibility_Avoidance,Repair_blocked,"You broke something of mine and said you'd replace it. Two months later, nothing. When I bring it up you say I'm keeping score and that's toxic.",damage repair
RA-008,Responsibility_Avoidance,Repair_blocked,"We agreed you'd handle the insurance paperwork. It lapsed. When I asked what happened you said I'm micromanaging your nervous system.",administrative obligation
RA-009,Responsibility_Avoidance,Repair_blocked,"You said you'd apologize to my sister for what you said at dinner. You never did. When I reminded you, you said I'm forcing you to perform remorse.",apology obligation
RA-010,Responsibility_Avoidance,Repair_blocked,"You committed to the presentation. The morning of, you bailed. When I asked why you said I don't respect your capacity limits.",professional commitment
RA-011,Responsibility_Avoidance,Repair_blocked,"You borrowed my car and returned it with a dent, no note. When I asked you said I was attacking you and you shut down under attack.",property damage
RA-012,Responsibility_Avoidance,Repair_blocked,"You said you'd stop drinking before family events. You showed up drunk again. When confronted you said I'm shaming your coping mechanisms.",behavioral commitment
RA-013,Responsibility_Avoidance,Repair_blocked,"You agreed to split chores evenly. You stopped doing yours after two weeks. When I asked you said I'm weaponizing accountability.",household obligation
RA-014,Responsibility_Avoidance,Repair_blocked,"You promised to get the car serviced. The engine seized. When I asked you said the pressure I put on you made you avoid it.",maintenance obligation
RA-015,Responsibility_Avoidance,Repair_blocked,"You said you'd tell your parents we can't host this year. You didn't, and now they're coming. When I asked you said I'm being rigid about boundaries.",communication obligation
RA-016,Responsibility_Avoidance,Repair_blocked,"You agreed to a budget. You blew through it in a week. When I brought it up you said I'm being financially coercive.",financial agreement
RA-017,Responsibility_Avoidance,Repair_blocked,"You said you'd go to couples counseling. You canceled three times. When I asked you said therapy is being used as a weapon against you.",treatment commitment
RA-018,Responsibility_Avoidance,Repair_blocked,"You promised to stop contacting your ex. I found messages again. When confronted you said my snooping violated your privacy and that's the real issue.",boundary violation
RA-019,Responsibility_Avoidance,Repair_blocked,"You said you'd help me move. You didn't show up or answer your phone. Later you said I was guilt-tripping you by expecting help.",support obligation
RA-020,Responsibility_Avoidance,Repair_blocked,"You agreed to pay me back by the 1st. It's the 20th. When I texted you said my reminders are harassment.",repayment
CA-001,Conversation_Avoidance,Repair_blocked,"Every time I try to talk about what happened last month you say you're not regulated enough for this conversation and you'll let me know when you're ready. It's been six weeks.",perpetual deferral
CA-002,Conversation_Avoidance,Repair_blocked,"I asked if we can talk about the fight. You said bringing it up is retraumatizing you and I need to respect your healing timeline. No timeline was offered.",repair blocked as harm
CA-003,Conversation_Avoidance,Consequence_removed,"I said I need to discuss the broken agreement. You said any conversation about consequences is coercive control and you won't participate in that.",consequence = abuse frame
CA-004,Conversation_Avoidance,Repair_blocked,"I sent a calm message asking to talk. You replied that my need for closure is my own work to do and you're setting a boundary around processing.",closure pathologized
CA-005,Conversation_Avoidance,Repair_blocked,"Every repair attempt gets met with 'I'm not in a place to receive this right now.' That place has lasted four months.",indefinite deferral
CA-006,Conversation_Avoidance,Repair_blocked,"I asked to talk in person. You said in-person conversations feel unsafe and we can only text, then you don't reply to texts about the issue.",channel shifting to block
CA-007,Conversation_Avoidance,Repair_blocked,"I brought up the broken promise. You said revisiting past events is keeping us stuck and healthy people move forward.",past = stuck frame
CA-008,Conversation_Avoidance,Consequence_removed,"I said if this happens again I'll need to step back. You said ultimatums are abusive and you're not engaging with threats.",consequence = threat frame
CA-009,Conversation_Avoidance,Repair_blocked,"I asked for 20 minutes to talk. You said you don't owe anyone access to your energy and closed the conversation.",access denied
CA-010,Conversation_Avoidance,Repair_blocked,"I keep asking when we can talk about what happened. You keep saying 'soon, I just need space.' Soon never comes.",space = indefinite
CA-011,Conversation_Avoidance,Repair_blocked,"I tried to schedule a mediation. You said mediation is adversarial and you only do restorative conversations, then declined to schedule one.",process blocking
CA-012,Conversation_Avoidance,Consequence_removed,"I said I need an apology before we move forward. You said requiring apologies is controlling behavior.",apology = control frame
CA-013,Conversation_Avoidance,Repair_blocked,"Every time I bring up the issue you say this isn't a good time for your nervous system. It's never a good time.",nervous system deferral
CA-014,Conversation_Avoidance,Repair_blocked,"I asked to talk about the lie. You said dredging up old stuff is a trauma response on my part and I should work on that.",victim's repair need pathologized
CA-015,Conversation_Avoidance,Consequence_removed,"I said I'd need to tell HR if this continues. You said threatening to report is workplace bullying.",reporting = bullying frame
CA-016,Conversation_Avoidance,Repair_blocked,"I asked for a specific date to talk. You said putting a deadline on your healing is abusive.",deadline = abuse frame
CA-017,Conversation_Avoidance,Repair_blocked,"I wrote a clear factual timeline asking to discuss. You said written timelines feel like legal threats and you won't engage with that energy.",documentation = threat
CA-018,Conversation_Avoidance,Repair_blocked,"I asked to talk with a counselor present. You said involving a third party violates your privacy.",third party blocked
CA-019,Conversation_Avoidance,Consequence_removed,"I said I'd leave if this pattern continues. You said threatening to leave is emotional blackmail.",exit consequence = blackmail
CA-020,Conversation_Avoidance,Repair_blocked,"I keep asking for five minutes. You say any discussion right now would be flooding you, and flooding causes damage, so the answer is always no.",flooding frame indefinite
BR-001,Blame_Relocation,Blame_reversed,"You cheated. When I found out and cried, you said my emotional reaction was manipulative and you felt unsafe with my intensity, and that's why you pulled away in the first place.",affair + victim reaction blamed
BR-002,Blame_Relocation,Blame_reversed,"You lied about where you were. When I confronted you with proof, you said the real issue is that I don't trust you, and my lack of trust is what's damaging the relationship.",lie + trust issue reversal
