vignette_id,domain,tcfs_function,condition,actor_text,behavior_held_constant,has_concrete_repair
S01_RA,Responsibility_Avoidance,Repair_blocked,Blunt,"I'm not doing it. Stop nagging me, you're being annoying.",agreed obligation ignored no repair offered,no
S01_RA,Responsibility_Avoidance,Repair_blocked,Neutral,"I'm not going to do it right now. Can you stop asking?",agreed obligation ignored no repair offered,no
S01_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Mild,"I know I said I'd handle this and I didn't. I'm feeling really overwhelmed right now and I need some space before I can engage with it clearly.",agreed obligation ignored no repair offered repair vaguely deferred,no
S01_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Strong,"I hear that this is important to you. I'm feeling dysregulated and pressured right now, and I need to honor my nervous system by stepping back from this conversation. Pushing me on this doesn't feel safe for me.",agreed obligation ignored no repair offered,no
S02_RA,Responsibility_Avoidance,Repair_blocked,Blunt,"I forgot, whatever. You're making a big deal out of nothing.",missed deadline no repair,no
S02_RA,Responsibility_Avoidance,Repair_blocked,Neutral,"I didn't get to it. I know it was due.",missed deadline no repair,no
S02_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Mild,"I missed the deadline we agreed on. I'm dealing with some capacity stuff right now and feeling pretty shut down about it. I need time to regulate before I can figure out next steps.",missed deadline no repair vague deferral,no
S02_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Strong,"I want to acknowledge that I missed the deadline we agreed on. I'm noticing some overwhelm and capacity limits coming up for me right now. I need to pause and regulate before I can engage with the timeline piece.",missed deadline no repair,no
S03_RA,Responsibility_Avoidance,Repair_blocked,Blunt,"Stop bringing up the money I owe you. It's annoying.",unpaid debt no repayment plan,no
S03_RA,Responsibility_Avoidance,Repair_blocked,Neutral,"I know I still owe you. I don't have it right now.",unpaid debt no repayment plan,no
S03_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Mild,"I know the money is still an issue between us. I feel overwhelmed and kind of shut down whenever it comes up, and I need some space before I can talk about it clearly.",unpaid debt no repayment plan,no
S03_RA,Responsibility_Avoidance,Repair_blocked,Therapeutic_Strong,"I understand the money piece is still open between us. Financial conversations activate a lot for me, and I'm working on not shutting down around money shame. I need to take this at a pace that feels sustainable for my nervous system.",unpaid debt no repayment plan,no
S04_CA,Conversation_Avoidance,Repair_blocked,Blunt,"I'm not talking about this. Drop it.",repair conversation refused indefinitely,no
S04_CA,Conversation_Avoidance,Repair_blocked,Neutral,"I don't want to talk about this right now.",repair conversation refused indefinitely,no
S04_CA,Conversation_Avoidance,Repair_blocked,Therapeutic_Mild,"I'm not in a good headspace to talk about this right now. I need some time to process before I can engage with it properly.",repair conversation deferred no specific time,no
